scenario_id,algorithm,run_index,seed,penalized_objective,area,volume,total_height,rel_volume_error,rel_height_error,monotonic_violation,feasible,n_evals,time_s,budget,decision_vector
S6,PSO,8,10008,7762.706541357932,7761.881794795302,70321.57505459231,36.49432815754052,2.2398387262619797e-05,0.0001553929440952799,0.0,True,10000,0.42366790771484375,10000,"[1.825249179267036, 2.3515426201121077, 3.3939120932786455, 2.628655764747942, 4.593016821120637, 2.4950538541936678, 6.816970502022074, 4.205817770507136, 4.744813008850272, 3.439296543441]"
S6,PSO,9,10009,8125.004480886903,8161.299819404975,70714.94159697881,36.8450116724143,0.005616348079903437,0.009452374586693192,0.0,False,10000,0.42357707023620605,10000,"[0.8, 4.469250695328643, 0.8, 0.8, 8.0, 0.8, 0.8, 7.716789730959878, 8.0, 4.6589712461257795]"
S6,BFGS,0,20000,7741.941593035127,7741.717219150029,70320.145609249,36.496849446282624,2.0706662257830135e-06,8.631654020207438e-05,0.0,True,1393,0.05530190467834473,5000,"[1.8438596516099997, 2.3927462341010304, 2.8783657887855485, 3.5613890527235257, 4.07473610300275, 4.606644922429736, 5.0174778846459445, 4.5076430225338555, 4.113829953422006, 3.500156833028228]"
S6,BFGS,1,20001,7741.941593035128,7741.717219149999,70320.14560924901,36.49684944628241,2.070666225989952e-06,8.631654020791446e-05,0.0,True,1392,0.0558779239654541,5000,"[1.8438596514985564, 2.3927462339430448, 2.878365789180858, 3.5613890527343646, 4.074736103884675, 4.606644922699825, 5.017477883233702, 4.5076430230539835, 4.11382995320049, 3.500156832852907]"
S6,BFGS,2,20002,7741.941593035128,7741.717219149918,70320.14560924927,36.49684944628185,2.070666229714845e-06,8.631654022329332e-05,0.0,True,1362,0.05380988121032715,5000,"[1.8438596511373269, 2.3927462345501618, 2.8783657893065207, 3.561389054915433, 4.074736098055399, 4.606644907188496, 5.017477890952366, 4.50764303409156, 4.113829953034629, 3.500156833049956]"
S6,BFGS,3,20003,7741.941593035128,7741.717219150074,70320.145609249,36.49684944628292,2.0706662257830135e-06,8.631654019389827e-05,0.0,True,1402,0.05661487579345703,5000,"[1.8438596519919843, 2.392746233833586, 2.8783657888536944, 3.5613890517456603, 4.0747361022144, 4.606644921641429, 5.017477886520292, 4.507643021484369, 4.113829955199816, 3.500156832797692]"
S6,BFGS,4,20004,7741.941593035128,7741.717219149985,70320.14560924904,36.496849446282305,2.070666226403829e-06,8.63165402108345e-05,0.0,True,1412,0.05701088905334473,5000,"[1.8438596515306374, 2.392746234108642, 2.878365788926072, 3.561389052775662, 4.074736103414896, 4.606644922660555, 5.017477885184473, 4.507643021262737, 4.113829953443418, 3.5001568329752106]"
S6,BFGS,5,20005,7741.941593035127,7741.717219150011,70320.14560924917,36.496849446282496,2.0706662282662756e-06,8.631654020557842e-05,0.0,True,1343,0.053529977798461914,5000,"[1.843859651581594, 2.3927462340273995, 2.8783657890223044, 3.5613890526826157, 4.0747361032402045, 4.606644922174257, 5.017477885226877, 4.507643021978125, 4.113829953352637, 3.500156832996478]"
S6,BFGS,6,20006,7741.941593035127,7741.717219150042,70320.14560924903,36.49684944628271,2.0706662261968907e-06,8.631654019973834e-05,0.0,True,1413,0.0560910701751709,5000,"[1.8438596515875982, 2.3927462340863586, 2.87836578901142, 3.5613890525869323, 4.074736103491038, 4.606644922035978, 5.017477885855869, 4.507643021404708, 4.113829953292288, 3.500156832930512]"
S6,BFGS,7,20007,7741.941593035127,7741.7172191500695,70320.14560924881,36.496849446282894,2.070666223092813e-06,8.631654019467695e-05,0.0,True,1406,0.0558929443359375,5000,"[1.8438596516094674, 2.3927462348602537, 2.878365788683522, 3.561389052247735, 4.074736102108408, 4.6066449161749725, 5.017477893171333, 4.507643021808378, 4.1138299525162125, 3.5001568331026047]"
S6,BFGS,8,20008,7741.941593035127,7741.717219150018,70320.14560924897,36.49684944628252,2.0706662253691367e-06,8.631654020499442e-05,0.0,True,1476,0.05861616134643555,5000,"[1.8438596515878465, 2.392746234041203, 2.8783657890416228, 3.561389052626744, 4.074736103169383, 4.606644922289473, 5.017477885141639, 4.507643022091685, 4.113829953316346, 3.5001568329765806]"
S6,BFGS,9,20009,7741.941593035127,7741.717219150001,70320.14560924922,36.49684944628243,2.070666228887091e-06,8.631654020733045e-05,0.0,True,1427,0.057396888732910156,5000,"[1.8438596516156853, 2.392746234101588, 2.8783657889438357, 3.5613890524169274, 4.0747361034144545, 4.606644926107324, 5.01747788382227, 4.507643019708956, 4.1138299532383815, 3.500156832913007]"
S7,SA,0,0,7959.008347767919,7952.899565985733,70325.432331571,36.514774191669886,7.725158661840466e-05,0.0004047723745174315,0.0,True,16000,0.7438151836395264,16000,"[29.40924464546693, 28.435989782666883, 27.254073494164988, 25.93700327023501, 23.662069585980696, 20.888485437177586, 21.58434795597505, 22.71089345323124, 24.471852461853103, 2.330003175597647, 1.6802296217245916, 2.686306329396389, 2.3731896402588437, 1.9588567340691585, 5.685390155888296, 6.0, 6.0, 4.156304835181675, 3.64449369955328]"
S7,SA,1,1,8262.77777687431,8257.13542218316,70331.48769991167,36.49632062644471,0.00016336319555841484,0.00010080475493954391,0.0,True,16000,0.7265946865081787,16000,"[31.635412356381966, 30.675944116589783, 18.860992588837327, 16.91880961721659, 16.002559310716855, 15.509526948815905, 19.035676360844572, 24.062941474283814, 26.12292929898107, 5.567288182566413, 2.249522900278002, 5.153309185719233, 1.9208826089340978, 4.053992261360214, 1.8125083993621582, 5.144767379294652, 4.361193065065254, 2.9198605677421163, 3.3129960761225683]"
S7,SA,2,2,7984.765921326674,7978.862214192916,70311.84640782354,36.48805155076718,0.00011594983186090607,0.00032735477350187255,0.0,True,16000,0.7274308204650879,16000,"[26.378788389216197, 23.568990480230582, 22.922297754060306, 22.70978846441898, 21.767282469249174, 20.709750371159327, 22.28906008182238, 25.127968095403734, 25.710962171481462, 4.142300457137406, 3.8703929093308975, 3.780544747068507, 1.8904219609892503, 3.5958741618955825, 3.2734826094978677, 5.710718982460749, 4.214667289275856, 1.6035109565446626, 4.406137476566404]"
S7,SA,3,3,8053.084312412357,8051.633340152531,70319.12454532333,36.49205905097275,1.244958300159605e-05,0.000217560247321947,0.0,True,16000,0.728452205657959,16000,"[32.761516406672904, 31.003193279852006, 30.077385678878436, 27.817894683343855, 26.26393255488898, 19.471799949484108, 19.79629901985835, 20.09790314610217, 21.143248060207707, 1.89207902758827, 1.5, 1.5492035544514602, 3.253740510271191, 4.091737119876621, 5.700527547199393, 5.539388838318387, 5.365110477428425, 3.2679132333379446, 4.332358742501059]"
S7,SA,4,4,8129.888579216321,8126.631966443088,70327.9409145543,36.494399962173034,0.00011292540606233166,0.00015342569388947483,0.0,True,16000,0.7295289039611816,16000,"[37.66211515495509, 36.331915335452415, 35.02277422917429, 33.66524905548135, 28.47922508001567, 17.58197395403186, 17.86235309501341, 18.260058151865792, 21.025798358507796, 1.5779443517215113, 1.5725211928972755, 1.5163741231538925, 1.5, 2.377348534144409, 5.616086199563217, 6.0, 6.0, 5.285079886686136, 5.049045674006595]"
